time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-30T23:21:15.090Z,35.7688333,-117.576,6.37,1.24,ml,19,82,0.04997,0.14,ci,ci39287320,2020-01-30T23:32:11.090Z,"16km W of Searles Valley, CA",earthquake,0.25,0.68,0.2,17,automatic,ci,ci
2020-01-30T16:07:04.610Z,35.6643333,-117.4811667,2.07,2.28,ml,29,65,0.1685,0.16,ci,ci39286792,2020-01-30T16:17:37.350Z,"13km SSW of Searles Valley, CA",earthquake,0.24,1.27,0.162,25,automatic,ci,ci
2020-01-30T14:21:54.230Z,35.8656667,-117.6935,6.66,1.36,ml,17,76,0.08131,0.12,ci,ci39286704,2020-01-30T14:25:40.821Z,"21km ESE of Little Lake, CA",earthquake,0.21,0.61,0.141,21,automatic,ci,ci
2020-01-30T11:06:12.140Z,35.8566667,-117.7008333,3.59,2.31,ml,30,49,0.0708,0.2,ci,ci39286640,2020-01-30T11:17:29.710Z,"21km ESE of Little Lake, CA",earthquake,0.25,0.75,0.159,25,automatic,ci,ci
2020-01-30T10:53:48.050Z,35.7118333,-117.4986667,1.37,1.24,ml,14,105,0.1285,0.19,ci,ci39286616,2020-01-30T10:57:32.319Z,"11km SW of Searles Valley, CA",earthquake,0.35,0.68,0.179,15,automatic,ci,ci
2020-01-30T09:20:47.510Z,35.7486667,-117.5783333,7.53,1.52,ml,26,82,0.06872,0.16,ci,ci39286584,2020-01-30T15:15:42.830Z,"16km W of Searles Valley, CA",earthquake,0.25,0.78,0.149,26,reviewed,ci,ci
2020-01-30T05:24:22.750Z,35.8291667,-117.6598333,5,1.43,ml,23,54,0.05239,0.16,ci,ci39286504,2020-01-30T05:35:01.680Z,"23km N of Ridgecrest, CA",earthquake,0.21,0.44,0.162,23,automatic,ci,ci
2020-01-30T01:41:41.170Z,35.6091667,-117.5893333,7.24,1.33,ml,15,103,0.106,0.16,ci,ci39286392,2020-01-30T01:45:18.195Z,"8km E of Ridgecrest, CA",earthquake,0.37,1.14,0.185,20,automatic,ci,ci
2020-01-29T19:12:58.870Z,35.8096667,-117.53,-0.32,1.33,ml,14,144,0.05521,0.15,ci,ci39286112,2020-01-30T22:11:43.334Z,"12km WNW of Searles Valley, CA",earthquake,0.4,0.57,0.133,19,reviewed,ci,ci
2020-01-29T12:29:16.510Z,35.8301667,-117.6768333,3.66,1.97,ml,26,56,0.06605,0.23,ci,ci39285800,2020-01-29T12:33:12.267Z,"23km N of Ridgecrest, CA",earthquake,0.31,0.89,0.191,25,automatic,ci,ci
2020-01-29T12:02:40.120Z,35.8631667,-117.6648333,6.54,1.54,ml,21,122,0.07233,0.13,ci,ci39285784,2020-01-29T12:06:30.104Z,"23km ESE of Little Lake, CA",earthquake,0.26,0.51,0.225,26,automatic,ci,ci
